ID,Gender,Age,Education,SN1,SN2,SN3,SN4,ATT1,ATT2,ATT3,ATT4,PBC1,PBC2,PBC3,PBC4,INT1,INT2,INT3,INT4,BEH1,BEH2,BEH3,BEH4
75,Female,28,3,4,3,4,4,4,4,3,4,2,3,2,2,4,4,4,4,3,3,3,2
76,Male,20,3,3,3,3,3,1,1,2,1,3,2,2,3,2,2,2,2,3,2,3,3
77,Male,48,3,3,3,3,3,4,4,3,4,4,3,3,4,3,3,3,3,3,3,4,3
78,Male,25,2,3,3,3,3,3,3,2,3,4,4,4,4,3,3,3,3,3,3,3,4
79,Male,52,4,3,3,3,3,4,3,4,4,3,2,3,3,3,3,3,3,3,3,3,3
80,Female,56,1,5,5,4,5,2,2,2,2,2,2,2,2,3,3,3,3,2,3,3,3
81,Female,37,3,4,4,4,4,4,3,3,4,5,4,4,4,4,4,4,4,4,4,3,4
82,Female,40,1,4,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3
83,Male,50,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
84,Female,52,1,4,4,4,3,3,3,3,3,3,3,2,3,4,3,3,3,4,3,3,4
85,Female,51,3,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
86,Male,46,2,3,4,4,4,4,3,3,3,3,3,3,4,3,4,4,3,4,4,3,3
87,Male,22,1,2,3,3,3,1,1,2,2,3,2,2,3,2,2,2,2,2,2,2,2
88,Female,31,3,3,2,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,2,2,2
89,Female,38,1,3,4,3,4,4,4,4,4,3,3,3,3,3,4,4,3,4,4,4,4
90,Female,51,1,3,2,3,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,3
91,Female,37,1,3,3,3,3,5,4,5,5,3,2,3,3,4,4,4,4,4,4,4,4
92,Male,48,4,3,3,3,3,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2
93,Female,21,4,4,3,3,4,3,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3
94,Female,28,4,4,5,4,5,3,3,3,2,3,3,3,4,3,3,3,3,4,4,4,4
95,Male,52,3,2,2,3,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,2,2
96,Male,59,4,1,1,1,1,2,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2
97,Female,18,4,2,1,1,2,2,3,2,2,2,3,2,2,2,1,3,2,2,2,2,2
98,Female,40,2,5,5,5,5,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4
99,Male,36,1,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,5,4,4,4,4
100,Female,44,4,2,3,2,3,4,4,3,4,2,2,2,2,3,3,2,2,2,2,2,2
101,Female,46,2,5,4,4,4,5,4,5,5,4,4,4,4,5,5,5,5,4,5,4,4
102,Female,47,1,4,4,4,4,3,3,2,2,4,4,5,5,5,4,4,4,4,4,4,4
103,Female,56,4,2,2,2,2,3,3,3,3,4,4,4,4,3,3,4,3,4,3,3,4
104,Female,53,3,4,4,4,4,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,3
105,Female,56,3,3,3,3,3,3,4,4,3,2,2,2,2,3,3,3,3,3,2,2,2
106,Female,32,4,5,4,4,4,2,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3
107,Male,38,4,3,4,3,4,4,4,3,3,4,3,3,3,4,4,4,4,4,3,3,3
108,Female,23,1,3,3,3,3,4,4,4,4,2,2,2,2,3,3,3,3,3,2,3,3
109,Female,54,1,3,4,3,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3
110,Female,45,3,2,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3
111,Male,52,3,3,3,3,3,2,2,2,2,3,4,3,4,2,3,3,3,3,3,3,3
112,Female,39,1,4,4,5,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4
113,Female,25,3,3,3,3,3,3,2,3,3,2,2,2,2,3,2,3,3,3,3,3,2
114,Male,56,2,3,4,4,3,3,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3
115,Male,41,2,4,3,4,4,2,2,2,2,3,3,2,3,2,2,3,3,2,3,3,3
116,Female,43,1,2,2,2,2,3,4,3,3,3,4,4,4,3,3,3,3,2,3,3,3
117,Male,60,3,2,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,3,2,2,3
118,Male,57,1,4,3,4,4,4,4,4,4,3,3,3,2,4,3,4,4,4,3,3,4
119,Male,18,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
120,Female,39,1,1,2,2,2,2,3,3,2,3,3,3,3,2,2,2,2,3,2,2,2
121,Female,21,2,3,3,3,3,2,2,3,2,3,3,1,3,2,2,2,2,2,3,2,3
122,Female,57,3,4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,4
123,Male,26,4,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
124,Male,19,1,2,1,2,2,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3
125,Male,34,4,3,3,3,4,3,4,4,3,3,3,4,3,4,4,4,4,3,3,4,4
126,Male,52,4,4,4,4,4,2,2,2,2,3,3,3,3,4,4,3,3,3,3,3,3
127,Female,57,4,4,4,4,4,3,3,3,3,2,2,2,2,3,3,3,3,2,3,3,3
128,Male,21,1,3,4,3,3,2,3,2,2,3,4,4,3,3,3,3,3,3,3,3,3
129,Male,20,2,3,3,3,2,3,2,3,3,2,3,2,3,2,2,2,3,2,3,3,2
130,Male,25,1,3,3,3,3,2,2,1,2,4,3,3,4,3,3,3,3,3,3,3,3
131,Male,42,1,5,5,5,5,2,2,2,2,3,2,3,3,4,3,4,3,2,3,3,4
132,Male,20,4,1,1,1,1,4,4,4,3,3,3,3,3,2,3,3,3,3,2,3,2
133,Male,51,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
134,Male,46,1,3,3,3,2,3,3,3,3,3,4,3,3,3,3,4,3,3,4,4,4
135,Male,47,3,3,3,3,4,5,4,4,5,3,3,3,3,4,4,4,4,4,4,4,3
136,Male,23,3,3,3,3,3,4,3,3,3,2,2,2,2,2,3,2,3,3,3,2,3
137,Male,57,3,3,3,4,4,2,2,2,2,3,3,3,3,2,2,3,2,3,3,4,3
138,Female,28,3,3,3,3,2,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3
139,Male,56,2,2,2,2,3,4,4,3,4,2,3,2,2,2,2,2,3,2,2,2,2
140,Female,26,3,3,3,3,3,4,4,4,4,3,2,2,3,4,3,3,4,3,3,3,3
141,Male,37,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
142,Male,27,2,2,2,3,2,3,3,3,4,2,2,2,2,3,2,2,3,2,3,3,3
143,Female,39,2,2,3,2,2,1,2,2,2,2,3,3,2,2,2,2,2,3,2,3,3
144,Male,38,2,2,3,3,3,4,3,2,4,2,2,2,2,3,2,2,3,2,2,2,2
145,Male,49,1,2,2,3,3,3,3,3,3,2,2,2,2,3,2,2,3,3,2,2,2
146,Female,18,2,3,3,3,3,2,2,2,1,4,4,4,4,3,3,3,3,3,4,3,3
147,Female,27,3,2,2,2,2,3,4,3,4,2,2,2,2,3,3,2,3,2,2,3,2
148,Male,35,3,5,5,5,4,2,3,3,3,3,3,4,3,4,3,3,4,4,4,4,3
149,Male,31,2,3,2,2,3,3,3,3,3,4,4,5,5,3,3,4,3,4,3,3,4
150,Female,50,1,3,2,3,3,1,1,1,1,4,3,4,3,2,2,2,2,2,2,2,2
151,Female,50,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
152,Male,27,4,4,4,4,4,3,3,2,2,3,3,3,3,3,3,3,3,4,3,3,4
153,Male,22,3,3,3,4,3,4,5,5,4,2,2,2,2,4,4,4,4,4,3,3,4
154,Male,43,4,5,5,5,5,2,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4
155,Male,56,4,4,4,4,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3
156,Female,23,3,3,3,4,4,3,3,3,3,4,4,4,4,3,4,4,4,3,4,4,4
157,Male,19,2,3,3,3,3,3,3,3,4,2,2,2,2,3,2,3,3,2,2,3,3
158,Male,54,4,3,3,3,2,2,1,3,2,3,3,3,3,2,2,2,3,3,3,3,3
159,Male,27,4,4,3,3,3,3,3,4,4,3,4,4,3,4,3,3,3,3,3,3,4
160,Male,36,3,5,5,5,5,3,3,2,3,3,3,3,3,4,4,3,3,4,3,3,4
161,Female,50,3,3,3,3,4,4,4,3,4,3,3,3,4,3,4,3,3,4,3,4,4
162,Male,60,4,2,2,2,2,4,4,4,4,2,2,2,3,3,3,2,3,3,3,3,2
163,Female,28,3,3,2,2,2,2,3,2,2,3,3,3,3,2,2,3,2,2,2,2,3
164,Male,44,1,4,4,4,3,3,3,3,3,2,3,2,3,3,3,3,4,4,3,4,4
165,Male,47,1,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,4,4,3,4,4
166,Male,40,3,4,3,4,4,3,3,4,3,3,2,3,3,4,4,4,3,3,4,4,3
167,Female,35,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,3,2,2,2,2
168,Female,60,4,3,2,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3
169,Male,34,2,1,2,2,2,3,3,3,2,3,3,4,4,1,2,2,2,3,2,2,3
170,Female,39,1,3,3,3,2,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3
171,Female,40,3,2,3,3,3,2,2,2,3,3,3,3,3,3,2,2,1,2,2,2,2
172,Male,30,4,3,4,4,3,4,4,3,4,2,2,2,2,3,3,3,3,3,3,3,3
173,Female,52,4,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,3,2,2,3
174,Male,23,4,3,3,3,4,4,4,3,4,2,3,2,2,3,3,3,3,3,3,3,3
175,Male,35,4,3,3,3,3,3,2,2,3,3,3,4,4,3,3,3,3,2,3,3,3
176,Female,43,1,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
177,Male,44,2,2,2,2,2,3,4,3,3,4,4,4,3,3,3,4,3,3,4,3,4
178,Male,21,4,4,3,4,3,2,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3
179,Male,40,4,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,3,3,4,4
180,Male,28,3,4,4,4,4,3,3,3,3,4,3,4,4,4,4,5,4,4,4,4,4
181,Female,29,2,4,4,4,3,3,3,2,2,3,3,4,3,3,3,3,3,3,4,3,3
182,Male,60,2,5,5,5,5,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3
183,Female,60,1,3,2,2,2,3,2,3,2,3,3,3,3,2,2,2,2,3,3,3,3
184,Male,60,1,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3
185,Female,21,1,3,3,3,4,4,4,5,4,3,3,2,3,4,3,4,4,4,3,4,4
186,Male,50,3,3,3,3,3,3,3,3,3,1,2,2,1,2,3,2,2,3,1,2,2
187,Male,48,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
188,Female,32,4,3,3,3,3,5,5,5,5,3,4,3,4,5,4,4,4,4,4,4,4
189,Male,49,2,1,2,2,1,1,1,1,1,5,4,4,5,2,2,2,2,3,3,3,3
190,Male,34,2,2,2,3,2,3,3,3,3,4,4,3,4,3,3,2,3,3,3,3,3
191,Female,18,2,3,3,3,3,5,5,5,5,3,4,3,3,4,4,4,5,4,4,3,3
192,Female,31,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3
193,Female,25,2,4,3,3,3,5,4,4,5,2,2,2,2,4,3,3,4,3,3,3,3
194,Male,54,1,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,2,3,3,3,3
195,Male,23,4,3,3,3,3,4,3,4,3,3,3,4,3,4,3,3,4,4,4,4,3
196,Male,59,4,2,3,3,3,2,3,2,2,2,3,3,3,3,2,2,3,2,3,3,2
197,Female,51,4,4,4,4,4,2,3,2,3,2,3,2,3,4,3,4,4,3,4,3,4
198,Female,48,2,3,3,3,2,3,3,3,3,2,2,2,2,3,3,2,3,2,3,3,3
199,Female,31,2,2,3,2,1,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4
200,Male,43,1,4,3,4,4,2,3,2,3,3,2,2,2,2,3,3,2,2,3,3,2
201,Male,44,1,2,3,3,2,3,3,4,4,3,2,3,3,3,3,2,2,2,2,3,2
202,Female,39,4,3,3,3,3,3,2,3,3,3,4,3,3,3,2,2,3,3,3,3,3
203,Female,26,3,4,4,4,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
204,Male,56,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
205,Female,31,4,3,3,4,4,3,3,3,2,5,5,5,5,4,4,4,3,4,4,4,4
206,Female,57,4,4,5,4,4,3,2,3,3,5,5,4,4,4,4,5,4,4,5,4,5
207,Female,55,3,3,4,3,4,3,3,3,4,3,2,3,3,3,3,3,3,3,2,3,2
208,Female,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
209,Female,30,1,4,4,3,3,2,1,2,2,2,2,2,3,2,2,2,2,2,2,3,2
210,Female,41,4,2,2,2,2,3,3,3,3,4,4,4,4,3,3,3,2,3,4,3,3
211,Male,39,2,3,3,2,2,3,2,2,3,4,4,4,4,3,3,3,3,4,4,4,3
212,Male,50,1,4,4,3,3,2,2,2,3,4,4,4,5,4,4,3,4,3,4,3,4
213,Female,53,2,2,2,2,2,4,4,3,4,2,2,2,2,3,3,2,2,3,3,3,3
214,Female,49,4,3,3,4,3,5,4,4,4,3,3,3,3,4,3,4,4,4,3,4,3
215,Male,39,2,5,5,5,5,2,2,2,2,4,4,4,4,4,4,3,4,4,4,4,4
216,Male,60,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,4,3,3,3,3,3
217,Male,52,2,4,5,4,4,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2,3
218,Female,36,2,2,3,3,3,1,1,1,1,5,5,4,5,2,2,1,2,3,3,3,3
219,Male,23,1,2,2,2,2,3,4,3,3,2,3,3,2,3,2,2,2,2,2,2,3
220,Male,38,3,4,3,3,3,3,3,3,2,3,2,3,4,3,3,3,4,3,3,4,3
221,Female,27,2,4,5,4,4,2,2,2,2,3,3,3,4,3,3,2,2,3,3,2,3
222,Male,18,4,5,5,5,5,3,2,3,2,2,2,2,2,3,4,3,3,2,2,3,2
223,Female,36,3,2,2,2,2,5,5,5,4,3,3,4,3,3,4,3,3,4,3,3,3
224,Male,41,4,4,4,4,4,3,3,3,3,4,3,4,5,3,3,4,3,4,3,3,3
225,Male,28,1,4,3,3,3,3,3,3,3,4,4,4,5,3,3,3,4,4,4,4,3
226,Male,42,4,5,5,5,5,2,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2
227,Male,30,2,2,2,1,1,4,4,5,4,3,2,2,2,3,3,3,3,3,2,3,3
228,Male,22,2,2,3,2,2,4,4,4,4,3,3,3,3,4,3,4,4,4,3,4,3
229,Male,38,2,2,2,2,2,3,3,4,3,4,4,3,4,2,3,3,3,3,2,3,3
230,Male,42,2,3,3,3,3,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2
231,Female,56,4,3,2,2,2,4,3,4,4,3,3,3,4,4,3,3,3,3,3,3,3
232,Female,44,4,3,4,4,4,3,3,3,3,2,2,2,3,3,2,3,3,2,3,3,4
233,Female,36,2,4,4,4,4,2,2,2,2,3,4,4,3,3,3,3,4,3,3,3,3
234,Male,23,1,3,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,3,2,2,2
235,Female,32,2,4,4,4,4,3,3,3,3,3,2,3,3,4,3,3,3,3,3,4,4
236,Female,37,1,4,4,4,4,3,4,3,4,5,5,5,5,5,5,4,5,5,4,4,4
237,Female,54,3,1,1,1,1,3,4,4,3,2,2,2,1,2,1,2,2,2,1,2,1
238,Female,49,2,4,4,5,4,3,3,4,3,2,1,2,2,3,3,3,3,2,3,3,3
239,Male,55,3,4,3,3,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4
240,Male,40,3,2,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,4,3,4,4
241,Male,57,4,2,3,3,2,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3
242,Female,52,1,3,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3
243,Male,21,4,2,2,2,1,2,3,3,2,3,4,4,4,2,2,2,3,3,3,4,3
244,Male,41,3,3,3,3,3,2,2,2,3,3,4,3,4,3,3,2,2,3,2,3,3
245,Male,53,2,4,4,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,2
246,Male,24,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
247,Male,39,2,4,3,3,3,3,3,3,4,1,3,2,2,3,3,3,3,2,3,3,3
248,Male,50,4,3,4,4,3,3,3,4,3,2,2,2,2,3,3,2,3,2,2,2,3
249,Male,54,1,3,3,2,2,3,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3
250,Female,31,3,4,3,3,3,3,3,3,3,4,4,3,3,4,3,4,4,3,3,4,4
251,Male,55,1,4,4,4,5,5,4,5,4,3,3,3,4,5,5,5,5,4,4,3,4
252,Female,44,1,2,3,3,2,4,2,3,3,4,4,3,4,2,3,3,3,4,4,3,3
253,Male,19,1,3,3,3,3,5,5,4,5,3,3,3,4,4,4,5,4,4,4,4,4
254,Male,52,2,3,3,3,3,3,4,3,3,2,2,1,2,3,2,3,2,3,3,3,3
255,Male,57,2,4,4,3,4,3,3,4,4,2,1,1,2,3,3,3,3,2,3,2,3
256,Male,28,4,3,3,3,3,5,4,4,4,4,3,3,3,3,3,4,4,4,3,4,4
257,Female,32,1,2,2,2,2,2,1,1,1,4,4,4,4,2,2,2,2,3,2,3,3
258,Female,20,3,4,4,4,4,2,1,2,2,4,3,3,3,3,3,3,3,3,3,3,4
259,Male,29,4,2,3,3,3,4,3,3,4,4,4,4,4,4,3,4,3,3,4,4,4
260,Female,52,1,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
261,Male,38,3,3,3,4,3,3,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3
262,Male,59,4,2,3,2,2,3,3,3,3,3,3,2,3,2,2,2,2,3,2,3,3
263,Female,37,3,4,4,4,4,4,4,4,4,2,2,2,2,3,3,3,3,3,3,3,4
264,Female,59,1,1,1,2,1,3,2,2,2,3,3,3,3,1,1,1,2,2,2,2,2
265,Male,39,2,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,4,3,3,4,3
266,Male,25,3,1,2,2,2,4,4,4,4,3,3,3,4,3,3,3,2,3,3,3,3
267,Male,24,4,2,2,2,1,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3
268,Male,21,3,2,2,1,1,3,2,3,2,4,4,4,4,3,2,2,2,3,3,3,3
269,Female,59,1,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
270,Female,51,3,4,4,4,4,4,4,4,4,3,2,3,3,4,4,4,4,3,3,4,3
271,Female,55,2,4,4,5,5,4,4,4,4,3,3,2,2,4,4,4,4,3,3,3,4
272,Male,58,2,4,3,4,4,4,4,4,4,2,2,2,2,3,3,3,3,3,3,3,3
273,Female,33,4,4,4,4,4,4,4,4,3,2,2,2,3,3,3,3,3,3,3,3,2
274,Male,57,1,3,3,3,3,4,3,4,4,4,3,4,3,3,4,3,4,3,3,3,4
275,Male,50,4,3,3,2,2,5,3,4,4,2,2,2,2,3,3,3,3,3,3,3,4
276,Male,57,2,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3,3
277,Female,36,3,2,3,3,3,4,4,4,4,3,2,2,2,3,3,4,3,2,3,3,2
278,Male,33,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
279,Male,20,1,1,1,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2
280,Female,50,1,2,2,3,1,3,3,3,3,2,1,2,1,2,2,2,2,2,1,2,2
281,Female,36,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3
